"Date","Bookmaker","Tipster","Sport","Category","Competition","Type of bet","Free bet","Live","Type","Label of bet","Odds","Stake","Gain","Winning bonus","Commission","Profit","State","Closing Odds","Comment"
"02/04/2024 10:25","TeamMexicoBets","Felix","Baseball","","","","","","Simple","RD",1.71,4000,-4000,"","",-4000,"Lost","",""
"02/04/2024 09:17","Caliente","Felix","Baseball","","","","","","Simple","U8.5 rivas",1.83,3500,-3500,"","",-3500,"Lost","",""
"02/03/2024 19:39","Novibet","Vidente","Tennis","","","","","","Simple","Zhu",1.93,2000,-2000,"","",-2000,"Lost","",""
"02/03/2024 17:38","Caliente","Ruy","Football","","","","","","Simple","Madero",1.9,4000,7600,"","",3600,"Won","",""
"02/03/2024 17:10","Novibet","DJ Serch","Football","","","","","","Simple","Cafetaleros ",1.7,3000,-3000,"","",-3000,"Lost","",""
"02/03/2024 17:09","Novibet","DJ Serch","Football","","","","","","Simple","Ferreti",1.8,3000,5400,"","",2400,"Won","",""
"02/03/2024 15:52","Novibet","Ruy","Football","","","","","","Simple","Ayense 1H",1.71,3000,-3000,"","",-3000,"Lost","",""
"02/03/2024 15:51","Caliente","DJ Serch","Football","","","","","","Simple","Huddersfield",1.769,1500,2653.5,"","",1153.5,"Won","",""
"02/03/2024 15:11","Novibet","Vidente","Tennis","","","","","","Simple","Samsonova",1.76,2000,3520,"","",1520,"Won","",""
"02/03/2024 13:21","Caliente","Frosty ","Basketball","","","","","","Simple","Lakers +6",1.727,1500,2590.5,"","",1090.5,"Won","",""
"02/03/2024 13:15","Novibet","Vidente","Tennis","","","","","","Simple","Korpatsh",2.18,2000,-2000,"","",-2000,"Lost","",""
"02/03/2024 12:46","Caliente","DJ Serch","Football","","","","","","Simple","Vallarta",2,2250,-2250,"","",-2250,"Lost","",""
"02/03/2024 12:42","Novibet","Ramiro","Baseball","","","","","","Simple","México ",1.6,9000,-9000,"","",-9000,"Lost","",""
"02/03/2024 12:21","Novibet","Vidente","Tennis","","","","","","Simple","Jasika",1.96,2000,3920,"","",1920,"Won","",""
"02/03/2024 09:18","TeamMexicoBets","Felix","Baseball","","","","","","Simple","RD",2.05,3500,7175,"","",3675,"Won","",""
"02/03/2024 09:16","Caliente","Ruy","Football","","","","","","Simple","Ayense",2.3,1500,-1500,"","",-1500,"Lost","",""
"02/03/2024 09:07","Caliente","DJ Serch","Football","","","","","","Simple","Toluca",1.95,2250,-2250,"","",-2250,"Lost","",""
"02/03/2024 08:46","Novibet","DJ Serch","Football","","","","","","Simple","Norwich",1.76,1500,2640,"","",1140,"Won","",""
"02/03/2024 08:17","Novibet","Felix","Baseball","","","","","","Simple","La guaira ",1.65,4000,6600,"","",2600,"Won","",""
"02/02/2024 19:00","Caliente","DJ Serch","Football","","","","","","Simple","Tecos -0.25",1.9,1500,-1500,"","",-1500,"Lost","",""
"02/02/2024 18:55","Caliente","Ruy","Football","","","","","","Simple","Madero Madeeo",1.9,1500,2850,"","",1350,"Won","",""
